"Store","Dept","Date","IsHoliday","Predict"
1,1,2012-11-02,0,33027.202269883
1,1,2012-11-09,0,27447.6760416903
1,1,2012-11-16,0,19499.5823279345
1,1,2012-11-23,1,16544.6442672489
1,1,2012-11-30,0,22549.0861295825
1,1,2012-12-07,0,34090.9028004314
1,1,2012-12-14,0,42999.9621784085
1,1,2012-12-21,0,43024.1191215518
1,1,2012-12-28,1,34335.4356940693
1,1,2013-01-04,0,22495.8698820865
1,1,2013-01-11,0,13965.8892347752
1,1,2013-01-18,0,12435.6209620629
1,1,2013-01-25,0,17893.5332578318
1,1,2013-02-01,0,27341.1884923933
1,1,2013-02-08,1,35916.4464041575
1,1,2013-02-15,0,38775.0507492018
1,1,2013-02-22,0,34008.8351452043
1,1,2013-03-01,0,24731.5191470549
1,1,2013-03-08,0,17611.1070901291
1,1,2013-03-15,0,17936.4214910707
1,1,2013-03-22,0,25245.9827346179
1,1,2013-03-29,0,33775.9468644249
1,1,2013-04-05,0,37485.2757300347
1,1,2013-04-12,0,34839.9094215946
1,1,2013-04-19,0,28986.9920671339
1,1,2013-04-26,0,23904.6819163766
1,1,2013-05-03,0,20979.8521236577
1,1,2013-05-10,0,19166.2451420058
1,1,2013-05-17,0,17459.7582009378
1,1,2013-05-24,0,16245.9466061406
1,1,2013-05-31,0,16247.0045479679
1,1,2013-06-07,0,17052.2316682035
1,1,2013-06-14,0,17420.2475588279
1,1,2013-06-21,0,16853.3150106508
1,1,2013-06-28,0,16184.7938815241
1,1,2013-07-05,0,16359.6856324214
1,1,2013-07-12,0,17102.956374125
1,1,2013-07-19,0,17301.1203193508
1,1,2013-07-26,0,16548.1518327325
1,2,2012-11-02,0,44859.709982416
1,2,2012-11-09,0,46453.6857173377
1,2,2012-11-16,0,46305.38366967
1,2,2012-11-23,1,45089.0512273026
1,2,2012-11-30,0,45546.3920975397
1,2,2012-12-07,0,49183.271328434
1,2,2012-12-14,0,53863.0888452169
1,2,2012-12-21,0,55396.0802189042
1,2,2012-12-28,1,51753.2565505173
1,2,2013-01-04,0,45393.1897251478
1,2,2013-01-11,0,41105.4523327612
1,2,2013-01-18,0,41619.6059073997
1,2,2013-01-25,0,45511.3659334002
1,2,2013-02-01,0,49220.7582227073
1,2,2013-02-08,1,50586.0011086274
1,2,2013-02-15,0,50156.2220087769
1,2,2013-02-22,0,49537.2069253638
1,2,2013-03-01,0,49295.4153205764
1,2,2013-03-08,0,48821.7703167119
1,2,2013-03-15,0,47747.4884408724
1,2,2013-03-22,0,46728.858769887
1,2,2013-03-29,0,46623.8617964786
1,2,2013-04-05,0,47334.6062637786
1,2,2013-04-12,0,47913.9364116572
1,2,2013-04-19,0,47739.2500892761
1,2,2013-04-26,0,47175.494464872
1,2,2013-05-03,0,46942.947870374
1,2,2013-05-10,0,47154.4819397493
1,2,2013-05-17,0,47314.9861006485
1,2,2013-05-24,0,47155.6403894622
1,2,2013-05-31,0,47037.8729401789
1,2,2013-06-07,0,47347.3486746425
1,2,2013-06-14,0,47788.8453576357
1,2,2013-06-21,0,47672.6594548651
1,2,2013-06-28,0,46877.9780501111
1,2,2013-07-05,0,46148.553413295
1,2,2013-07-12,0,46217.2661970058
1,2,2013-07-19,0,46884.8394940318
1,2,2013-07-26,0,47333.58284113
1,3,2012-11-02,0,9848.74055762062
1,3,2012-11-09,0,11559.298464361
1,3,2012-11-16,0,12091.386911653
1,3,2012-11-23,1,11626.2424048928
1,3,2012-11-30,0,11601.3895369399
1,3,2012-12-07,0,12626.4680919532
1,3,2012-12-14,0,13796.0448342582
1,3,2012-12-21,0,14065.5901495332
1,3,2012-12-28,1,13632.0735095492
1,3,2013-01-04,0,13499.8724980675
1,3,2013-01-11,0,14002.868336996
1,3,2013-01-18,0,14391.1445621643
1,3,2013-01-25,0,13990.9344066971
1,3,2013-02-01,0,13234.5524324278
1,3,2013-02-08,1,13072.0194271104
1,3,2013-02-15,0,13568.5924289502
1,3,2013-02-22,0,13680.1448428822
1,3,2013-03-01,0,12620.8829320454
1,3,2013-03-08,0,11018.1906215054
1,3,2013-03-15,0,10234.9526945596
1,3,2013-03-22,0,10664.6323154077
1,3,2013-03-29,0,11240.2760471849
1,3,2013-04-05,0,10853.9144951759
1,3,2013-04-12,0,9837.43063768395
1,3,2013-04-19,0,9512.87065927886
1,3,2013-04-26,0,10361.8748088613
1,3,2013-05-03,0,11260.9423766806
1,3,2013-05-10,0,10889.8153906687
1,3,2013-05-17,0,9511.18142261438
1,3,2013-05-24,0,8705.83935378955
1,3,2013-05-31,0,9287.66579574959
1,3,2013-06-07,0,10131.5904495599
1,3,2013-06-14,0,9615.52180618674
1,3,2013-06-21,0,7954.11039934697
1,3,2013-06-28,0,7336.3119326781
1,3,2013-07-05,0,9467.51339610897
1,3,2013-07-12,0,13566.9573892568
1,3,2013-07-19,0,17513.6192061602
1,3,2013-07-26,0,20811.7512892634
