"Store","Dept","Date","IsHoliday","Predict"
1,1,2012-11-02,0,31112.9948777778
1,1,2012-11-09,0,26034.7916277778
1,1,2012-11-16,0,25515.0700966667
1,1,2012-11-23,1,27198.5750766667
1,1,2012-11-30,0,27708.1142777778
1,1,2012-12-07,0,30764.9557355556
1,1,2012-12-14,0,35160.0441311111
1,1,2012-12-21,0,38570.9095411111
1,1,2012-12-28,1,29774.6644988889
1,1,2013-01-04,0,25484.4571455556
1,1,2013-01-11,0,23858.52531
1,1,2013-01-18,0,22073.1417933333
1,1,2013-01-25,0,20898.4304522222
1,1,2013-02-01,0,33054.8661922222
1,1,2013-02-08,1,33710.2309922222
1,1,2013-02-15,0,32204.5208444445
1,1,2013-02-22,0,29126.9110811111
1,1,2013-03-01,0,28228.8515855556
1,1,2013-03-08,0,24292.6487966667
1,1,2013-03-15,0,24025.26206
1,1,2013-03-22,0,30593.4723744444
1,1,2013-03-29,0,27162.60009
1,1,2013-04-05,0,25685.7241477778
1,1,2013-04-12,0,23597.4999611111
1,1,2013-04-19,0,24602.5436288889
1,1,2013-04-26,0,23598.6296366667
1,1,2013-05-03,0,23465.1233634188
1,1,2013-05-10,0,21266.5299734188
1,1,2013-05-17,0,23038.8240094506
1,1,2013-05-24,0,17738.5359523077
1,1,2013-05-31,0,17421.227655641
1,1,2013-06-07,0,18187.8783645299
1,1,2013-06-14,0,18126.6097267521
1,1,2013-06-21,0,17498.3715600855
1,1,2013-06-28,0,16475.258178022
1,1,2013-07-05,0,18558.6541923077
1,1,2013-07-12,0,17759.6816478632
1,1,2013-07-19,0,17513.8847767521
1,1,2013-07-26,0,16386.9254057997
1,2,2012-11-02,0,47459.9987111111
1,2,2012-11-09,0,47622.0916577778
1,2,2012-11-16,0,44663.3429422222
1,2,2012-11-23,1,46493.2131855556
1,2,2012-11-30,0,46695.6252866667
1,2,2012-12-07,0,48543.6977588889
1,2,2012-12-14,0,49362.90029
1,2,2012-12-21,0,54004.4835144445
1,2,2012-12-28,1,49351.5304733334
1,2,2013-01-04,0,45692.6635622222
1,2,2013-01-11,0,44904.4629033333
1,2,2013-01-18,0,43152.6359077778
1,2,2013-01-25,0,42944.6846206349
1,2,2013-02-01,0,50484.8364177778
1,2,2013-02-08,1,51381.9260233334
1,2,2013-02-15,0,48270.9493311111
1,2,2013-02-22,0,48160.4630366667
1,2,2013-03-01,0,49259.2715611111
1,2,2013-03-08,0,47848.8370496296
1,2,2013-03-15,0,45096.3173333333
1,2,2013-03-22,0,48255.62582
1,2,2013-03-29,0,46736.0719681482
1,2,2013-04-05,0,49632.91905
1,2,2013-04-12,0,45109.4368455555
1,2,2013-04-19,0,45630.0621611111
1,2,2013-04-26,0,45044.2378933334
1,2,2013-05-03,0,48001.25532
1,2,2013-05-10,0,47015.6648074074
1,2,2013-05-17,0,46914.0171622223
1,2,2013-05-24,0,47502.9778205556
1,2,2013-05-31,0,46208.8839341414
1,2,2013-06-07,0,47432.8675177778
1,2,2013-06-14,0,47362.8064293651
1,2,2013-06-21,0,46800.7227583334
1,2,2013-06-28,0,45973.0072477778
1,2,2013-07-05,0,49127.4915255556
1,2,2013-07-12,0,46006.2994263636
1,2,2013-07-19,0,45396.9819958081
1,2,2013-07-26,0,45169.3265435065
1,3,2012-11-02,0,14698.15799
1,3,2012-11-09,0,15514.0561588889
1,3,2012-11-16,0,13841.4457844444
1,3,2012-11-23,1,11384.0354811111
1,3,2012-11-30,0,12029.3650777778
1,3,2012-12-07,0,13607.9719711111
1,3,2012-12-14,0,11907.1935166667
1,3,2012-12-21,0,11561.5449022222
1,3,2012-12-28,1,13568.9293955556
1,3,2013-01-04,0,15990.7629366667
1,3,2013-01-11,0,15850.3033833333
1,3,2013-01-18,0,15301.6821688889
1,3,2013-01-25,0,15000.9516611111
1,3,2013-02-01,0,19036.9355166667
1,3,2013-02-08,1,21154.4802277778
1,3,2013-02-15,0,20928.89304
1,3,2013-02-22,0,19328.0279888889
1,3,2013-03-01,0,15379.8315444444
1,3,2013-03-08,0,15514.32137
1,3,2013-03-15,0,12902.3253955556
1,3,2013-03-22,0,13723.2291388889
1,3,2013-03-29,0,12939.2870933333
1,3,2013-04-05,0,14914.6860677778
1,3,2013-04-12,0,14039.3726422222
1,3,2013-04-19,0,11787.6834266667
1,3,2013-04-26,0,12354.3842077778
1,3,2013-05-03,0,9714.22627730159
1,3,2013-05-10,0,9812.92728444445
1,3,2013-05-17,0,10076.7239122222
1,3,2013-05-24,0,9578.59499814815
1,3,2013-05-31,0,11880.6279081481
1,3,2013-06-07,0,8477.17213888889
1,3,2013-06-14,0,9381.43257555555
1,3,2013-06-21,0,9112.03698555555
